band,lam,fehtype,mode,slope,sloperr,intc,intcerr
J,1.22,spectroscopic,RRab,-0.176890566259,0.108275579733,-0.274958270083,0.171804057164
J,1.22,photometric,RRab,-0.10675053041,0.0748745991061,-0.168896860838,0.123370951392
J,1.22,spectroscopic,RRc,0.087434076609,0.133865174727,0.183202945669,0.231399031948
J,1.22,photometric,RRc,0.0243870853241,0.0367537244872,0.0410310258265,0.0573016707328
H,1.63,spectroscopic,RRab,-0.0767656432243,0.147311041613,-0.1413314879,0.23374277542
H,1.63,photometric,RRab,-0.0798609358967,0.102984011697,-0.127234789054,0.168713110915
H,1.63,spectroscopic,RRc,0.094523323558,0.216596609114,0.21107005374,0.374408401244
H,1.63,photometric,RRc,-0.0195242422805,0.0586960316083,-0.0015184749456,0.0915112942096
K,2.19,spectroscopic,RRab,-0.159646639263,0.112367695905,-0.258515758073,0.178297139996
K,2.19,photometric,RRab,-0.0808475674738,0.0885306241628,-0.121171085695,0.144805398333
K,2.19,spectroscopic,RRc,0.13664597985,0.174067283293,0.285949854445,0.300892303797
K,2.19,photometric,RRc,-0.00644536944942,0.0392991523205,0.00862563431696,0.0613033411699
3,3.55,spectroscopic,RRab,0.0786163351976,0.183213349976,0.0779296954663,0.287573585971
3,3.55,photometric,RRab,-0.0836636194677,0.113760493243,-0.162742882054,0.179771374778
3,3.55,spectroscopic,RRc,-0.142890254712,0.417859190546,-0.239218424233,0.74346063047
3,3.55,photometric,RRc,-0.100661662664,0.0811079741248,-0.127465125151,0.123088977604
4,4.493,spectroscopic,RRab,0.164864815881,0.290856419785,0.257291160697,0.44967662827
4,4.493,photometric,RRab,-0.169291710726,0.132070674081,-0.264077071892,0.219995810566
4,4.493,spectroscopic,RRc,-0.579675721475,1.33802634693,-1.06119361972,2.31479846589
4,4.493,photometric,RRc,-0.0637998864338,0.217214389904,-0.0686832830474,0.334674965821