id,mag_j,merr_j,type,per,mag_h,merr_h,mag_k,merr_k,mag_3,merr_3,mag_4,merr_4,resid_m4_j,resid_m4_h,resid_m4_k,resid_m4_3,resid_m4_4
3.0,13.2473573668,0.0174188595111,0.0,0.841258,12.9816040474,0.0183620986455,12.8818734013,0.0174355957742,12.8408674221,0.0394620070448,12.7077907694,0.03574329774,-0.0399133962801,-0.061326608869,-0.0323910552225,-0.0459732934629,0.0254189282213
4.0,13.475108934,0.0159478316185,0.0,0.62732,13.2189074538,0.0210436055212,13.1327453413,0.0198934662641,13.0296299499,0.0359246897458,13.0260254837,0.0348389150233,-0.0152061780361,-0.0132916908828,0.00653573173333,0.0672971527413,0.00730558682418
5.0,13.6999254242,0.0171731379388,0.0,0.515274,13.548892523,0.0196977156036,13.5065967215,0.0265910385907,13.3871486147,0.0428631543403,13.3400494474,0.0297895395511,-0.0707444261072,-0.151952184552,-0.173000291273,-0.0877028680175,-0.105481496405
7.0,13.3326552658,0.00925562891794,0.0,0.713,13.1508866159,0.0308193662059,13.0358166741,0.0183620986455,,,,,0.0171031055555,-0.0697601397765,-0.0229709017227,,
8.0,13.5047993206,0.014634434279,0.0,0.521329,13.2580410882,0.0165,13.2231514067,0.0136717470232,,,,,0.114330766941,0.127539336707,0.0989075320613,,
9.0,13.7757272401,0.0166458202962,0.0,0.52348,13.5339313928,0.0207846096908,13.469579702,0.0162198438135,13.3146343909,0.0364760195197,13.2789743718,0.0389015852291,-0.160139595808,-0.152354769223,-0.151587151906,-0.0314512633535,-0.0605661119713
10.0,13.5787821328,0.0135339080338,1.0,0.374976,13.3946385787,0.0228819433907,13.3454315504,0.018801595677,13.3423004837,0.0366242178529,13.1681064141,0.0374277080962,0.0123622751468,0.00670816435459,0.0023285827801,-0.0651739870018,0.082844328311
11.0,13.4811991765,0.0144279820719,0.0,0.564789,13.3072668097,0.0277308492477,13.2187967503,0.0250116639457,13.0497922921,0.0580222658411,,,0.0690429325029,0.000453855516186,0.0241853266761,0.155213693278,
12.0,13.5902189499,0.0184390889146,1.0,0.386769,13.3786481568,0.0280935935758,13.3045621063,0.0249365862406,13.1682374472,0.0480789281633,13.4479778753,0.088424167134,-0.0321705266902,-0.0135577220961,0.00667275481761,0.0731437722,-0.237089277762
13.0,13.3525169876,0.0192591969372,0.0,0.669039,13.0807481439,0.0222298597986,13.0578864696,0.016618263046,12.9176301873,0.0323135678418,12.8596555542,0.0309152066142,0.0519924503594,0.0622600273907,0.0178083312768,0.113026262302,0.107824297798
14.0,13.588188079,0.0108282039139,1.0,0.377114,13.3428275604,0.0195021366351,13.3651494266,0.0160286202359,,,13.2987493718,0.0449573872313,-0.00312033160908,0.0518622639798,-0.0240955957644,,-0.0551543269899
15.0,13.2449732718,0.0179953697748,0.0,0.810642,13.0199288531,0.0305845821725,12.9536876236,0.0250166611148,13.1490070259,0.0838475799691,,,-0.00563499114155,-0.0636032770626,-0.0675936363034,-0.31595564586,
16.0,13.6803947253,0.0153677150763,1.0,0.330202,13.5015362258,0.0215831724576,13.4369064049,0.0176517232398,,,,,0.0466553869639,0.0486938081278,0.0608414946048,,
18.0,13.3714167251,0.0101693985401,0.0,0.621689,13.1311042794,0.0238414904456,13.1001916825,0.0164848415218,13.0056017573,0.0425959700754,,,0.0962435290819,0.0832792970003,0.0479942622889,0.100606148358,
20.0,13.4102007157,0.0146969384567,0.0,0.615559,13.210078414,0.035530503327,13.1252574718,0.0251462389501,13.0598012681,0.0394049489278,12.9398495231,0.0293072800967,0.0659847674156,0.0139406937394,0.0327146267472,0.0566059270953,0.112838348253
21.0,13.5776056731,0.0164062996031,1.0,0.380812,13.3987922702,0.0266520793435,13.3614236395,0.0204450483003,13.3011918933,0.0473233557559,13.1996366107,0.032267114322,-0.00296756931591,-0.0155280123233,-0.0318801345629,-0.0418930099559,0.0313335221618
22.0,13.5718266883,0.0120761472885,1.0,0.396055,13.3798740897,0.0163018403869,13.2882583721,0.0168522995464,,,,,-0.039136022304,-0.0425628152758,-0.00500874811878,,
23.0,13.9414510281,0.0247907913011,0.0,0.51087,13.7939049746,0.0476742418223,13.6577764544,0.0334203032103,13.3253135875,0.0638278935889,,,-0.304885200909,-0.388618027191,-0.3157029412,-0.0170328862677,
24.0,13.4191898083,0.0121997267729,1.0,0.462278,13.2178704985,0.0135523675668,13.138048696,0.0139253964635,,,,,-0.0517496941734,-0.0615894913818,-0.03717229383,,
30.0,13.5209278027,0.0212642109345,1.0,0.40441,13.2866747729,0.0456115847857,13.2511787804,0.0296057426862,13.1881110961,0.0467100988367,13.07069113,0.0602550136227,-0.0105495116694,0.0261935259424,0.0074465402874,0.00178405611899,0.0824935570297
32.0,13.5078880678,0.00897682200633,0.0,0.620373,13.2435126279,0.0184481254694,13.1324912178,0.0179953697748,,,,,-0.0384047091341,-0.0270685108941,0.017787477921,,
33.0,13.3376045677,0.0146941031256,0.0,0.602324,13.1055529863,0.0215483951452,13.0908960272,0.0193476958146,,,13.0057594775,0.0348616312489,0.157280598954,0.139601200411,0.0885415334201,,0.0691584568178
34.0,13.2727197652,0.0136198384719,0.0,0.733967,13.0175727705,0.0140653237906,12.9160254159,0.0127964838921,,,12.8377706226,0.0645316459835,0.0521037509858,0.0353714033898,0.0681975090993,,0.0349791204747
35.0,13.5860963861,0.0115253344131,1.0,0.386841,13.4627962128,0.0235778851186,13.3555360762,0.0229691822522,,,,,-0.0282469094086,-0.0979237219456,-0.044520775726,,
36.0,13.5335222986,0.00721110255093,1.0,0.379846,13.3723518678,0.0190328663107,13.3065211549,0.0144481832768,,,,,0.0438304551806,0.0138862610197,0.0260182823372,,
38.0,13.2261938819,0.0149192269684,0.0,0.779061,12.9429749871,0.0194507926145,12.8142445387,0.0180531622345,,,,,0.0473317779153,0.0519904384741,0.111093315433,,
39.0,13.5602222047,0.00893028554975,1.0,0.393374,13.4145678078,0.0141362418391,13.3083093897,0.0136900206964,,,,,-0.0202719615041,-0.0693037417744,-0.0170479771471,,
40.0,13.517320571,0.0220775149568,0.0,0.634072,13.2502077968,0.0510220540551,13.1531014266,0.0331272797958,13.0618275118,0.0492273636643,13.4161594238,0.0560357029045,-0.0666283592526,-0.055002134085,-0.0243931842321,0.0240804137626,-0.393777788727
44.0,13.6773822223,0.0137173855624,0.0,0.567545,13.4246439664,0.0229328730574,13.3678497551,0.0184232642783,,,13.1323631527,0.0364337297935,-0.131328090467,-0.121656708999,-0.129675078469,,0.00338411680091
45.0,13.5130521212,0.0146855938479,0.0,0.589116,13.201139958,0.0151162164578,13.1642114773,0.0142302494708,,,13.0703531809,0.027711309364,0.000908788242144,0.065574343856,0.037123225723,,0.0272418731887
46.0,13.2988976665,0.0162788205961,0.0,0.686971,12.9979962655,0.0165353157414,12.9472576441,0.0142331772045,,,,,0.0828560851504,0.119292581386,0.102315788444,,
47.0,13.4203137861,0.0196490033674,1.0,0.485303,13.2231880194,0.0178535710714,13.1499007725,0.0177364972115,13.0991952686,0.0303411162177,13.0729043499,0.0262916336503,-0.104824767528,-0.123818899163,-0.106358452218,-0.119790033567,-0.155629919942
49.0,13.5656257734,0.0115650335062,0.0,0.604627,13.2377907167,0.0193433881899,13.2203222396,0.0161038297722,,,13.0990971458,0.0492527495002,-0.0740238541432,0.00365262148869,-0.0446535354066,,-0.0280823147736
50.0,13.6472752039,0.0143265487819,1.0,0.386172,13.401554175,0.0150554530542,13.3618544733,0.0142828568571,,,13.305145439,0.0555877684387,-0.0875757543824,-0.0346550580832,-0.0487975124457,,-0.0922583012865
51.0,13.5966489219,0.0144366431925,0.0,0.574152,13.3778394408,0.0326879182574,13.2697366339,0.0285511237374,13.3153167274,0.0827259532029,,,-0.0605524451184,-0.0861066961005,-0.0429924002713,-0.12723408799,
54.0,13.280748341,0.016010413278,0.0,0.772915,12.9983880125,0.0166458202962,12.9536519737,0.0150083310198,12.7991322925,0.0298858941085,,,-0.000408579537426,0.00427896460778,-0.020492177545,0.0829718434739,
56.0,13.6426823439,0.009456038635,0.0,0.568023,13.3857745313,0.0216410104508,13.3526088336,0.0171973835219,,,13.2315651451,0.0346193587462,-0.0973525038509,-0.0836058954566,-0.115265575201,,-0.0966789089924
57.0,13.2344369336,0.014829587542,0.0,0.794402,12.9953153621,0.0181796589627,12.8819073406,0.0143643076176,,,,,0.0223119048889,-0.0193117249912,0.0241723147967,,
58.0,13.6604364549,0.0172626765016,1.0,0.36988,13.4947796803,0.0179118210502,13.4210202331,0.0205953069088,13.3451820411,0.0334003492996,13.3090043162,0.0337712895815,-0.0546672516649,-0.077411625544,-0.0571199357578,-0.0522600523757,-0.0403504997687
59.0,13.7268656582,0.022803508502,0.0,0.518506,13.4239047093,0.042959283048,13.3908825282,0.0331071492783,13.2482454608,0.0713348909487,13.41836269,0.0639986979034,-0.103064178835,-0.0330445033259,-0.0634612749472,0.044764415421,-0.190189876109
63.0,13.2229784978,0.0174451521442,0.0,0.825943,12.8617606916,0.0170146995272,12.8687717763,0.0119721899974,,,,,0.000272130026763,0.076382019879,-0.0011448877108,,
64.0,13.6377369681,0.0131085214015,1.0,0.344497,13.4384272814,0.0219412093255,13.4072323054,0.0215793110795,,,13.3139236931,0.0437435709562,0.0440166060635,0.0621808643852,0.0405255910651,,0.0467079538862
66.0,13.5423348698,0.0105039675044,1.0,0.407266,13.3587158643,0.0217389818836,13.2640710285,0.0197061750051,13.1034734659,0.034963075761,,,-0.039478057147,-0.0540872670854,-0.0137465348234,0.0782981229189,
67.0,13.6097891845,0.0143961800489,0.0,0.564451,13.3835923378,0.0155349069303,13.3263738841,0.0154515371404,13.3684682236,0.0468908306602,,,-0.0590320493923,-0.0752895708934,-0.0828006060324,-0.162846078773,
68.0,13.2581938832,0.0207866142826,1.0,0.534609,13.0035557541,0.015305227865,12.9695183147,0.0145602197786,12.9281435342,0.0502750766616,,,-0.0461241806042,-0.0174814229212,-0.0401112492702,-0.0604362032162,
69.0,,,0.0,0.635221,,,13.112267638,0.013625955624,,,,,,,0.0146526228319,,
70.0,13.5290220791,0.0130926187857,1.0,0.390687,13.2820996441,0.0294207976325,13.2542904957,0.0222860195339,,,,,0.0182538017785,0.0711895821012,0.0450556108577,,
72.0,13.5540452926,0.00977667291737,1.0,0.384522,13.3386036634,0.0166883192683,13.3114983141,0.0144048602909,,,,,0.010230605112,0.0333089050942,0.00660929010902,,
73.0,13.479601013,0.0175902435079,0.0,0.575215,13.2508182875,0.0174116819023,13.2149929114,0.0155938021876,,,,,0.0549040854252,0.0391158220961,0.00992457089993,,
74.0,13.6224893532,0.00759934207679,0.0,0.503209,13.4566366903,0.0156923548265,13.4048196111,0.0151134597848,,,,,0.0270757964795,-0.0366574243393,-0.0478241093391,,
75.0,13.4100958543,0.0113321077769,1.0,0.422174,13.1754371261,0.0280639151462,13.1372704984,0.025179356624,,,,,0.0543365577095,0.0870979383495,0.070648195948,,
76.0,13.6341246218,0.0117933597136,1.0,0.337962,13.4882926556,0.0174212513902,13.4485082039,0.0195042730361,,,,,0.0680984988923,0.0347396663095,0.0218402201443,,
77.0,13.474240598,0.0132539302347,1.0,0.426294,13.2636376357,0.0283343137085,13.1991759903,0.021035683968,,,,,-0.0201880361116,-0.0124735895058,-0.00271266894216,,
79.0,13.3822139774,0.0104801399482,0.0,0.608276,13.1619654635,0.0159373774505,13.1227742053,0.0148548533034,,,,,0.104211302786,0.0736270443603,0.0469522085108,,
81.0,13.5415602258,0.0125,1.0,0.389392,13.3259094557,0.0330681115276,13.2864553433,0.0250582654361,13.2483988213,0.0759764217811,,,0.00926425878099,0.0312672290879,0.016807060558,-0.0148198078632,
82.0,13.5787920504,0.0159138304628,1.0,0.335758,13.3244023661,0.0239687296284,13.2957082796,0.0179745190014,,,13.8266597492,0.103583299812,0.130424007365,0.206290645914,0.182357664594,,-0.432785217757
83.0,13.6026589078,0.00986576572463,1.0,0.356612,13.4309404003,0.0235549004102,13.3695790684,0.0222972345071,,,,,0.0421538041334,0.0291994136802,0.0374102860835,,
84.0,,,0.0,0.579873,12.8333012522,0.0172385227519,12.7810780999,0.0157056253192,,,,,,0.448790345849,0.43587427688,,
85.0,13.3440159967,0.0110830200457,0.0,0.742758,,,,,,,,,-0.0294358435686,,,,
94.0,14.0698050312,0.0244216434063,1.0,0.253936,13.9336239771,0.0220944940351,13.8702684087,0.027440845468,13.8582275074,0.0376308827073,13.7991270128,0.02889059824,-0.0620645177358,-0.0759005170707,-0.0627459745913,-0.131156903239,-0.0438935404677
95.0,13.4966664334,0.014634434279,1.0,0.405067,13.2685945812,0.0172094935041,13.2641200116,0.0165705562168,,,13.1780822114,0.0236026128497,0.0119769079947,0.0423730982932,-0.00740940981187,,-0.026997652353
97.0,13.3024221452,0.0104841149682,0.0,0.691898,13.1431242523,0.0289956893348,13.0343052556,0.0222523407008,12.9636556853,0.0607062599737,12.7019880717,0.0640019530952,0.0731832337537,-0.0327845252868,0.00821042857858,0.0324209461074,0.231130821712
101.0,13.7081729229,0.0164924225025,1.0,0.340946,13.4842887219,0.0302998899888,13.4358661321,0.022721135535,,,,,-0.015345231097,0.0284510050133,0.0241133423858,,
102.0,13.3200687797,0.0118918739762,0.0,0.691396,13.0333040438,0.0220170388563,12.9933544636,0.020045780936,12.9838444952,0.0492798133113,13.0557858638,0.0717553714598,0.0561610353866,0.0777414441933,0.0498780139992,0.0129791900363,-0.121924644748
103.0,13.6203420123,0.0175499287748,1.0,0.328852,13.4090814115,0.0400052079943,13.3765590742,0.0335459883344,12.9596759877,0.0709042781972,13.0241558143,0.0662388355373,0.111086740531,0.145945377799,0.126021164914,0.468964441831,0.396606818972
104.0,13.7320768645,0.0960620459217,0.0,0.866524,13.6258245519,0.153538675909,13.4523821304,0.140719875403,,,,,-0.550091494814,-0.734321372464,-0.632123842018,,
105.0,13.7676384652,0.0143003496461,1.0,0.335328,13.6152040357,0.0200790105998,13.5330163158,0.0179606050381,,,,,-0.057052736447,-0.0830105633104,-0.0534387802186,,
107.0,13.5966128567,0.0170880074906,0.0,0.514102,13.3396573977,0.0378230529351,13.3007444591,0.0300430247035,13.5351314554,0.218683942407,13.350743842,0.0764095325641,0.0345272230729,0.0594971678463,0.0351008109761,-0.233341931039,-0.113846947362
115.0,13.4012904127,0.0120830459736,0.0,0.630474,13.1763029654,0.0172167554047,13.1025571983,0.0128062484749,,,,,0.0542976307622,0.0244361487079,0.0317709942544,,
117.0,13.4797974552,0.0198095095009,1.0,0.421641,13.2736600869,0.042547032799,13.202028597,0.0308193662059,13.1104883119,0.0441682389657,12.9492859927,0.0431277173057,-0.0140148188084,-0.00964586563041,0.0073802271415,0.0312413587951,0.149916388288
120.0,13.5252675015,0.0492417505781,0.0,0.548537,13.0717368472,0.0789134547041,13.1352522404,0.0936825312781,12.9584402696,0.0659153497551,12.9267003674,0.0552720544217,0.0500942871144,0.264375015719,0.136564844873,0.276618033133,0.243887655114
121.0,13.740916497,0.0158298241725,1.0,0.304182,13.6482665233,0.0326151805146,13.5310839676,0.0263328059019,13.4143206096,0.0370090079125,13.3015920024,0.0330756708171,0.0738588848031,-0.00193436556981,0.0634789794744,0.104338243258,0.220060353631
122.0,13.3690589088,0.0177364972115,0.0,0.634929,13.1321655752,0.0420158700176,13.0619949145,0.0241212216385,13.0570406973,0.0515363949069,13.0190091435,0.0426829396051,0.0804712719687,0.0617267168126,0.0653794265829,0.0274770145222,0.00199107665334
122.0,13.3690589088,0.0177364972115,0.0,0.634929,13.1321655752,0.0420158700176,13.0619949145,0.0241212216385,13.0570406973,0.0515363949069,12.9555668845,0.104647025758,0.0804712719687,0.0617267168126,0.0653794265829,0.0274770145222,0.0654333356533
123.0,13.4624739895,0.0155509913939,1.0,0.474169,13.2385798553,0.0185202591775,13.1741583613,0.0171925371407,,,,,-0.122178537511,-0.11203554429,-0.103239253874,,
124.0,13.7079277084,0.0132633580464,1.0,0.33186,13.5096669844,0.0180369990113,13.4818955822,0.0233309522595,,,,,0.0137692134309,0.0346986848762,0.00994444846452,,
125.0,13.419984966,0.0154434452115,0.0,0.592888,13.199799277,0.0157718102956,13.1530134846,0.0150499169433,,,,,0.0884849238337,0.0607088699326,0.0420180490189,,
126.0,13.6421439324,0.0109087121146,1.0,0.341891,13.4673031346,0.0168102151483,13.3702307,0.0157162336455,,,,,0.0477254679361,0.0421958146641,0.0864839554594,,
127.0,,,1.0,0.305274,,,13.5787426869,0.0175047612571,,,13.5733022603,0.0625279937308,,,0.0115933324813,,-0.0562861404981
128.0,13.2065586253,0.0177834192438,0.0,0.834988,12.9265753522,0.0315885000171,12.8100505444,0.0196341539161,,,12.4452145563,0.0737659587253,0.0073215609777,0.000976537154664,0.0468199665604,,0.295646473027
130.0,13.6875834895,0.0207364413533,0.0,0.49325,13.5269115289,0.0321221626503,13.4184295401,0.0248109518829,,,,,-0.0208206725719,-0.0874948187345,-0.0416927484232,,
147.0,13.3972846713,0.0124432043033,1.0,0.422699,12.9336079872,0.0409074157906,13.0825668008,0.0224220873248,,,12.5853036472,0.0962345225651,0.0658194478176,0.32747194615,0.123885967707,,0.510656432707
149.0,13.3536327777,0.015212385305,0.0,0.682728,13.0606067058,0.0345687720349,13.0240325151,0.0240554914036,,,,,0.0334512299145,0.0627065949494,0.0316595454414,,
150.0,13.0677963128,0.0193239919961,0.0,0.899302,12.7565588222,0.0248042335096,12.6919327627,0.0179606050381,,,,,0.0822455042931,0.0988405640732,0.0916573587977,,
151.0,13.5006609815,0.0132884661769,0.0,0.407784,13.3013157489,0.0204552356786,13.2649892605,0.0162429471874,,,,,0.329805558744,0.323125007962,0.299663869804,,
163.0,13.7631144892,0.0185337529929,1.0,0.313229,13.5570855314,0.0158561239484,13.5447665605,0.0249949994999,,,,,0.0203361699718,0.0549307172631,0.015225908449,,
168.0,14.1759011515,0.0149499163877,1.0,0.321299,13.9995826797,0.020182500671,13.9602788687,0.0178629038326,,,,,-0.419638168077,-0.417350248111,-0.430291165023,,
169.0,13.8051136267,0.0127801930085,1.0,0.319116,13.7354989363,0.0194229245996,13.6523095462,0.0251810113644,13.7344054587,0.0497903939865,14.0014406532,0.11563123857,-0.0415641286188,-0.145284203403,-0.11428032533,-0.27107305807,-0.541796386404
184.0,13.7784952112,0.0119408263254,1.0,0.30337,13.6236462435,0.0275680975042,13.5364943705,0.0194507926145,,,,,0.0391370950388,0.025815645347,0.061221525281,,
185.0,13.700592386,0.0163222751682,1.0,0.3332,13.545200373,0.0179048410586,13.5082685015,0.0226770809409,13.4957139019,0.0364531663005,13.478710278,0.0330756708171,0.0167975793974,-0.00555292986947,-0.0211816986588,-0.0822360473376,-0.0749413658834
261.0,13.4310366003,0.00893028554975,1.0,0.402512,13.2118818657,0.0185853885261,13.1130936646,0.0197336430156,,,,,0.0843696456298,0.106494505637,0.151080589654,,
263.0,13.1551337589,0.0165504279904,0.0,1.012158,12.8882031599,0.0169656515741,12.7459546946,0.0157347810068,,,12.6597502071,0.0337021265402,-0.10680193514,-0.147760197187,-0.0791179930116,,-0.115692001463
274.0,13.8283157862,0.0107199191539,1.0,0.311089,13.7577309203,0.0227779132787,13.6495587085,0.0221585198062,,,,,-0.037537969334,-0.137687846304,-0.0814798680365,,
276.0,13.7266554647,0.0206821178799,1.0,0.307807,13.613677865,0.0460190178079,13.5333865679,0.024366985862,,,,,0.0754581186962,0.0187834237724,0.0472026105952,,
280.0,13.9513143848,0.0117082591931,1.0,0.281644,13.9052718321,0.0260224262256,13.8162529862,0.0292318319645,,,,,-0.0542603718437,-0.168804286483,-0.130885991092,,
285.0,13.6865858721,0.016975472502,1.0,0.329014,13.5036497986,0.026815729215,13.5029389246,0.0151189726282,,,13.3578232368,0.0739932429347,0.0443164957338,0.0508003413889,-0.000939612609207,,0.062302216096
288.0,13.8094025618,0.0109772492001,1.0,0.2954,13.7192992835,0.0156071564781,13.6348300698,0.0194100489438,,,,,0.0366841724259,-0.0386658636277,-0.00571140018188,,
289.0,13.7429520206,0.0133041346957,1.0,0.30809,13.6179900851,0.0149582753017,13.5836296786,0.0216814052435,,,,,0.0581793529168,0.0133952029268,-0.00412448305172,,
291.0,13.6743941371,0.0183779759495,1.0,0.334,13.5176990747,0.0444719012411,13.4442272825,0.0262979720384,,,,,0.0404327605944,0.0191405543194,0.0400308767485,,
357.0,13.6923752668,0.0270585784303,1.0,0.297775,13.4681064125,0.0635419808735,13.4675977833,0.0446299600418,13.4621636936,0.0438149517859,13.3749329804,0.040556544889,0.145152743527,0.203151014023,0.152075338122,0.0810691074972,0.174261058025
